date,batu-pahat,johor-bahru,kluang,kulai,mersing,muar,pontian,segamat,kota-tinggi,tangkak,under-investigation
24/3/2020,28,59,31,10,2,15,7,3,4,3,3
25/3/2020,29,68,54,10,2,15,7,3,5,3,0
26/3/2020,30,73,83,14,3,15,8,3,7,3,0
27/3/2020,30,80,83,18,3,15,11,4,7,3,5
28/3/2020,34,87,97,19,3,18,11,5,7,4,0
29/3/2020,36,105,97,19,3,18,11,5,10,5,0
30/3/2020,37,108,106,21,3,21,12,8,12,5,0
31/3/2020,39,112,107,23,3,27,12,9,12,5,0
1/4/2020,44,118,111,23,4,28,13,10,12,5,0
2/4/2020,48,125,122,24,4,28,13,12,13,6,0
3/4/2020,48,136,132,24,4,28,13,12,13,6,0
4/4/2020,47,137,135,24,4,28,13,14,14,6,0
5/4/2020,47,139,147,24,4,29,14,14,14,6,0
6/4/2020,47,145,170,24,4,30,14,14,14,6,0
7/4/2020,48,146,174,24,4,35,14,12,14,7,0
8/4/2020,48,158,175,27,4,36,14,12,14,8,0
9/4/2020,50,159,175,29,4,36,14,12,16,8,0
10/4/2020,50,171,176,30,4,38,16,13,16,9,0
11/4/2020,51,176,183,32,4,40,17,15,16,10,0
12/4/2020,51,177,193,35,4,40,17,15,16,10,0
13/4/2020,51,183,201,37,4,40,17,15,17,14,0
14/4/2020,51,184,201,38,4,44,17,15,19,14,0
15/4/2020,52,185,210,38,4,46,17,15,20,14,0
16/4/2020,52,185,221,38,4,47,17,15,21,14,0
17/4/2020,52,187,221,41,4,47,18,16,22,15,0
18/4/2020,52,191,222,45,4,47,18,20,24,15,0
19/4/2020,53,192,222,45,4,47,18,20,26,15,0
20/4/2020,53,193,222,45,4,48,18,20,26,15,0
21/4/2020,53,194,222,45,4,48,18,20,26,15,0
22/4/2020,53,196,222,45,4,49,18,20,26,15,0
23/4/2020,53,198,222,45,4,50,18,20,26,15,0
24/4/2020,53,201,222,45,4,51,18,20,26,15,0
25/4/2020,53,201,222,45,4,51,18,20,26,15,0
26/4/2020,53,204,222,45,4,52,18,20,26,15,0
