date,bachok,gua-musang,kota-bharu,tanah-merah,kuala-krai,pasir-mas,pasir-putih,tumpat,jeli,machang
24/3/2020,8,1,43,1,8,9,5,3,0,0
25/3/2020,8,1,48,1,8,9,6,3,0,0
26/3/2020,9,2,55,1,8,9,6,4,0,0
27/3/2020,9,2,58,1,9,9,6,4,0,0
28/3/2020,9,2,68,1,9,9,6,4,0,0
29/3/2020,10,2,76,3,9,10,6,7,0,0
30/3/2020,10,2,79,3,9,10,7,7,0,0
31/3/2020,10,2,80,3,10,10,8,8,0,0
1/4/2020,10,2,82,4,11,9,7,8,1,0
2/4/2020,11,2,82,4,11,9,8,9,1,0
3/4/2020,11,2,82,4,11,9,8,9,1,0
4/4/2020,11,2,82,4,11,9,8,11,1,0
5/4/2020,11,2,82,4,11,10,8,12,1,0
6/4/2020,11,2,82,4,11,10,8,12,2,0
7/4/2020,11,2,85,6,11,10,8,12,2,0
8/4/2020,11,2,85,6,11,10,8,12,2,0
9/4/2020,11,2,85,6,11,11,8,12,2,0
10/4/2020,11,2,86,6,11,11,8,12,2,0
11/4/2020,11,2,88,6,11,11,8,12,2,0
12/4/2020,11,2,89,6,11,11,8,12,2,0
13/4/2020,11,2,90,6,11,11,8,13,2,0
14/4/2020,11,2,90,6,11,11,8,13,2,0
15/4/2020,11,2,90,6,11,11,8,13,2,0
16/4/2020,11,2,90,7,11,11,8,13,2,0
17/4/2020,11,2,90,7,11,11,8,13,2,0
18/4/2020,11,2,90,7,11,11,8,13,2,0
19/4/2020,11,2,90,7,11,11,8,13,2,0
20/4/2020,11,2,90,7,11,11,8,13,2,0
21/4/2020,11,2,90,7,11,11,8,13,2,0
22/4/2020,11,2,90,7,11,11,8,13,2,0
23/4/2020,11,2,90,7,11,11,8,13,2,0
24/4/2020,11,2,90,7,11,11,8,13,2,0
25/4/2020,11,2,90,7,11,11,8,13,2,0
26/4/2020,11,2,90,7,11,11,8,13,2,0
27/4/2020,11,2,90,7,11,11,8,13,2,0
28/4/2020,11,2,90,7,11,11,8,13,2,0
29/4/2020,11,2,90,7,11,11,8,13,2,0
