date,jelebu,jempol,kuala-pilah,port-dickson,rembau,seremban,tampin
24/3/2020,1,1,3,5,12,76,11
25/3/2020,1,1,3,5,20,80,13
26/3/2020,1,3,3,5,20,87,13
27/3/2020,1,3,3,5,21,92,13
28/3/2020,1,3,3,5,26,101,14
29/3/2020,1,4,3,6,26,108,14
30/3/2020,1,4,3,6,26,118,14
31/3/2020,1,4,3,6,33,119,15
1/4/2020,1,5,3,6,35,124,15
2/4/2020,1,6,4,6,35,139,16
3/4/2020,1,6,4,7,36,141,16
4/4/2020,1,6,4,7,40,146,16
5/4/2020,1,7,4,7,40,156,16
6/4/2020,1,7,4,7,41,162,17
7/4/2020,1,9,4,9,47,174,17
8/4/2020,1,9,6,9,48,180,17
9/4/2020,1,9,6,9,51,188,17
10/4/2020,,,,,,,
