date,seberang-perai-tengah,timur-laut,seberang-perai-selatan,barat-daya,seberang-perai-utara
24/3/2020,22,19,9,7,11
25/3/2020,23,20,9,7,11
26/3/2020,23,20,12,8,11
27/3/2020,28,23,9,8,12
28/3/2020,30,26,9,9,12
29/3/2020,30,27,9,9,12
30/3/2020,30,27,10,9,12
31/3/2020,32,27,11,9,15
1/4/2020,34,27,11,9,15
2/4/2020,35,27,11,9,16
3/4/2020,35,27,11,9,16
4/4/2020,36,27,10,9,17
5/4/2020,37,27,10,10,17
6/4/2020,37,27,10,10,17
7/4/2020,37,27,10,11,17
8/4/2020,37,29,11,11,20
9/4/2020,37,29,11,11,20
10/4/2020,38,29,11,11,20
11/4/2020,38,30,11,12,23
12/4/2020,38,32,11,12,23
13/4/2020,38,32,11,12,23
14/4/2020,40,32,11,13,23
15/4/2020,40,32,11,13,23
16/4/2020,40,32,11,13,23
17/4/2020,40,32,11,13,23
18/4/2020,40,32,11,13,23
19/4/2020,40,32,11,13,23
20/4/2020,40,32,11,13,23
21/4/2020,40,32,11,13,23
22/4/2020,40,32,11,13,23
23/4/2020,40,32,11,13,23
24/4/2020,40,32,11,13,23
