date,besut,dungun,kemaman,kuala-terengganu,marang,kuala-nerus,setiu,hulu-terengganu
24/3/2020,12,5,2,16,1,1,1,0
25/3/2020,12,5,2,16,1,1,1,0
26/3/2020,13,5,2,16,1,1,1,0
27/3/2020,14,6,2,16,1,1,1,0
28/3/2020,14,8,3,17,1,1,1,0
29/3/2020,16,8,3,17,1,1,1,0
30/3/2020,16,8,3,17,1,1,1,0
31/3/2020,16,8,3,17,1,1,1,0
1/4/2020,17,8,3,17,1,1,1,0
2/4/2020,19,8,3,17,1,1,1,0
3/4/2020,24,17,3,17,1,1,5,0
4/4/2020,25,20,3,17,1,2,6,0
5/4/2020,26,27,4,17,1,2,7,0
6/4/2020,29,27,4,17,2,4,7,0
7/4/2020,29,27,4,17,2,4,7,0
8/4/2020,30,30,4,17,2,4,6,0
9/4/2020,31,32,4,17,2,4,8,0
10/4/2020,32,33,5,17,2,4,8,0
11/4/2020,32,33,5,18,2,4,8,0
12/4/2020,32,33,5,18,2,4,8,0
13/4/2020,32,37,5,18,2,4,8,0
14/4/2020,32,37,5,18,2,4,8,0
15/4/2020,,,,,,,,
