date,perlis,kedah,pulau-pinang,perak,selangor,negeri-sembilan,melaka,johor,pahang,terengganu,kelantan,sabah,sarawak,wp-kuala-lumpur,wp-putrajaya,wp-labuan
16/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/3/2020,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
18/3/2020,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
19/3/2020,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20/3/2020,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
21/3/2020,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
22/3/2020,1,0,1,0,0,0,1,1,0,0,1,1,3,1,0,0
23/3/2020,1,0,1,0,0,0,1,2,0,0,1,1,5,2,0,0
24/3/2020,1,0,1,0,0,0,1,3,0,0,1,1,5,3,0,0
25/3/2020,1,0,1,0,0,0,2,5,0,0,1,1,5,3,0,0
26/3/2020,1,1,1,0,2,0,2,6,0,0,2,1,5,3,0,0
27/3/2020,1,1,1,1,3,0,2,6,0,0,2,1,5,3,0,0
28/3/2020,1,1,1,1,3,0,2,7,0,0,2,1,5,3,0,0
29/3/2020,1,1,1,2,3,1,2,9,0,0,2,1,5,6,0,0
30/3/2020,1,1,1,2,4,1,2,9,0,0,2,1,7,6,0,0
31/3/2020,,,,,,,,,,,,,,,,
